pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
CH,86.4,2.43,5.58,1.41,-0.04,0.38,1.23,-7.982138841072155,-125.53882051815756,-4.107842321483208,16.58168371869606,26.378117115336277,-31.927513832520283,3.4,1.61,88.5,1508.0,7.7,52.76,116.0,3.11,1.41,-1.41
SL,80.4,2.59,5.58,-0.19,0.33,0.94,3.09,-3.354899263653369,-117.01589110177414,0.6013683104782472,-1.0552808738893338,23.506290635126145,-29.53781576066744,3.51,1.63,81.2,1920.0,7.0,53.53,254.0,3.22,-0.19,0.19
CH,87.8,2.37,5.54,0.83,-0.18,-0.13,1.79,-7.930824780456065,-127.65696732290763,-2.648392991291749,10.616949347253213,24.27576339681023,-33.834033176257854,3.41,1.65,89.9,1704.0,7.4,53.07,107.0,3.12,0.83,-0.83
FF,94.4,2.48,5.83,1.22,1.11,0.35,4.94,-8.417410277110998,-137.23631981177115,0.9538991556070509,17.241548720908646,29.38168120000772,-18.546290961615483,3.61,1.7,96.1,2489.0,7.3,53.24,125.0,1.45,1.22,-1.22
FF,95.7,2.45,5.69,1.16,1.11,0.5,2.53,-7.853491964528164,-139.17017576138076,-5.300197298368231,16.828238268341654,30.955330874623428,-16.724182302486696,3.41,1.65,96.9,2388.0,7.0,53.49,123.0,1.38,1.16,-1.16
CH,87.5,2.46,5.58,1.31,-0.16,-0.55,0.9,-10.222967627914002,-126.9522575796384,-4.883180935379845,16.23349088304589,25.899533659281214,-33.04552779569731,3.47,1.65,89.5,1631.0,7.7,52.83,112.0,3.15,1.31,-1.31
CH,88.1,2.31,5.61,1.2,-0.27,-0.31,1.46,-9.06728708533992,-127.99672600738428,-3.468160444885391,15.086999780710324,26.599830146559064,-34.59110124808337,3.41,1.65,89.9,1643.0,7.5,52.98,113.0,3.22,1.2,-1.2
FF,96.9,2.51,5.77,1.46,1.21,-0.34,2.63,-11.081265858321697,-140.6078199453243,-5.607461251190348,21.881053146428357,33.75741929296222,-14.986619955290989,3.58,1.77,97.7,2478.0,7.0,53.46,127.0,1.24,1.46,1.46
FF,97.4,2.48,5.69,1.39,1.19,-1.29,2.19,-13.386417592152096,-140.95326277258522,-6.561840605011292,21.728306590302065,34.58641341792392,-14.919169140544902,3.53,1.65,97.4,2578.0,6.8,53.71,123.0,1.26,1.39,-1.39
FF,95.3,2.5,5.67,1.49,1.12,-0.25,2.37,-10.730635586596318,-138.2055445901565,-5.557255977186914,21.60527342822782,32.79715654703001,-16.73568742288799,3.5,1.62,96.2,2544.0,7.1,53.37,122.0,1.42,1.49,-1.49
