release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
81.7,2.29,6.61,1.12,1.21,0.83,2.47,-5.397864194,-118.852704,-5.111966865,11.626011363293708,20.574740032713468,-19.88496168,3.31,1.54,81.6,1541,6,54.5,136,2.18,1.12,-1.12
81.6,2.47,6.57,1.21,1.08,0.04,1.72,-7.772447086,-118.5129995,-6.368157253,12.888270868670332,22.74443671324807,-20.92341715,3.42,1.65,81.3,1620,6.2,54.33,136,2.36,1.21,-1.21
94,3.1,6.33,0.89,1.3,-0.46,2.57,-11.14910889,-136.4437105,-6.938491717,13.40769316552772,26.425764633333447,-14.46505576,3.42,1.65,94.1,2362,6.2,54.27,140,1.26,0.89,-0.89
74.7,2.56,6.57,-0.28,-1.29,0.15,1.33,-4.435002732,-108.6665969,-1.281459365,-1.396330314,20.02684196437645,-42.34915353,3.27,1.53,74,2186,5.9,54.6,346,5.39,-0.28,0.28
94,2.98,6.37,0.68,1.34,-0.04,2.84,-9.253126321,-136.4039391,-6.321511753,10.578464917349534,30.944203272421834,-14.1686715,3.35,1.54,93.2,2386,6.1,54.43,137,1.26,0.68,-0.68
81.5,2.33,6.65,0.67,1.24,0.08,1.47,-6.316363036,-118.470874,-7.473129985,7.418901017371481,18.906776740889857,-19.29125467,3.49,1.6,81.7,1429,6.1,54.37,140,2.15,0.67,-0.67
85.8,2.9,6.26,-0.27,0.4,0.21,2.38,-5.824497432,-124.8160389,-3.703000835,-1.602736533,25.347218836308308,-27.47493316,3.49,1.6,85.6,2137,6.2,54.33,163,2.7,-0.27,0.27
75.9,2.63,6.5,-0.53,-1.14,-0.54,0.74,-5.666892302,-110.3846555,-2.872606275,-3.214471522,20.759046470768727,-41.15161855,3.54,1.7,75.4,2256,6,54.45,336,5.12,-0.53,0.53
93.8,2.67,6.57,0.61,1.41,0.25,3.65,-7.573452079,-136.4331381,-4.969499779,9.232066212,27.918974666034604,-13.62885497,3.49,1.6,93.6,2234,6,54.46,147,1.17,0.61,-0.61
94.5,3.07,6.39,0.87,1.32,0.12,3.44,-9.575792836,-137.3044063,-4.961559888,13.04598588735506,27.827522041843423,-14.51001939,3.45,1.58,94.3,2363,6.1,54.42,152,1.22,0.87,-0.87
80.8,2.46,6.62,0.82,1.34,0.8,2.54,-5.220530889,-117.5364663,-5.031178012,8.513248884363204,20.59437740451745,-18.95205152,3.45,1.58,80.8,1538,6.2,54.34,138,2.13,0.82,-0.82
94.4,3.18,6.34,0.88,1.42,0.64,3.52,-8.494995532,-137.222306,-4.788538051,12.960338186317893,30.434298013321435,-13.36933936,3.28,1.5,93.9,2377,6.1,54.44,135,1.15,0.88,-0.88
