release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
88.3,3.27,6.16,-0.22,0.31,-0.53,1.25,-8.786192719,-128.3675175,-6.605389006,-0.94757509,21.681177232090487,-27.67458305,3.3,1.5,88.9,2020,6.3,54.22,166,2.57,-0.22,0.22
71.5,3.07,6.45,-0.79,-0.94,-0.1,3.46,-4.884090091,-103.9724085,3.1698916817741414,-4.936602793,17.181993388616732,-39.73943451,3.33,1.51,71.1,2304,6,54.49,321,5.4,-0.79,0.79
93,2.98,6.35,0.65,1.31,-0.87,2.76,-11.23815513,-135.0342374,-6.322731556,10.186695515704804,25.85008240253978,-14.92997303,3.34,1.58,92.9,2208,6.1,54.39,147,1.32,0.65,-0.65
92.8,3.27,6.26,0.95,0.94,1.83,3.34,-5.722108499,-135.2036141,-3.818037023,12.809479193844089,25.09176587603825,-19.94351356,3.39,1.64,93,2123,6,54.48,147,1.67,0.95,-0.95
87.6,3.08,6.28,-0.39,0.15,-0.49,2.63,-7.808755566,-127.4472231,-3.047595597,-2.819563202,24.47997632388094,-30.13426984,3.69,1.7,87.7,2114,6.2,54.3,185,2.81,-0.39,-0.39
87.1,3.28,6.21,-0.16,0.26,0.01,2.76,-7.531371017,-126.7432626,-2.678461872,-0.23680023,24.76380283174216,-29.05166513,3.49,1.6,87.3,2086,6.3,54.2,193,2.74,-0.16,-0.16
86.4,3.21,6.29,-0.63,0.46,0.43,3.35,-5.332767971,-125.7850538,-1.748965759,-5.688909164,24.60080442629733,-27.1329756,3.49,1.6,86.3,2071,6.1,54.39,163,2.58,-0.63,-0.63
94.7,3.27,6.2,0.61,1.39,0.85,2.42,-7.656042302,-137.6640048,-7.291273443,9.344204547,28.08929474826311,-13.08975641,3.72,1.67,94.8,2215,6.2,54.29,144,1.14,0.61,0.61
95.3,3.27,6.23,0.6,1.31,-0.38,3.85,-10.90277795,-138.3625706,-3.513778154,10.214958513952563,31.18321557509851,-14.7355647,3.72,1.71,94.9,2204,6.2,54.28,145,1.21,0.6,0.6
94.9,3.16,6.14,1.15,0.92,-0.36,1.09,-11.67803387,-137.5414087,-9.590280746,16.98037749681438,27.186613452303497,-18.49888461,3.37,1.53,94.7,2150,6.2,54.34,142,1.61,1.15,-1.15
73.3,3.05,6.38,-0.9,-0.92,-0.93,1.15,-6.462156389,-106.6078583,-1.656440411,-5.808696708,17.961840438220268,-39.15569885,3.38,1.61,73.2,2351,6.2,54.33,332,5.16,-0.9,0.9
96.2,3.29,6.14,1.45,0.94,0,1.76,-11.9176164,-139.5107026,-8.144939644,21.36909000071767,26.786189760858186,-18.28076007,3.37,1.53,96.1,2188,6.1,54.38,143,1.51,1.45,-1.45
93.7,3.24,6.17,1.37,0.96,1.11,1.06,-8.489989755,-136.1163659,-9.65025472,18.80923192205777,24.537828692044187,-18.40358373,3.37,1.53,94.1,2197,6.2,54.26,145,1.61,1.37,-1.37
95.1,3.24,6.28,0.75,1.48,-1.17,1.38,-13.1897979,-137.7808349,-10.55667899,12.06608942532749,24.48264965563691,-11.13830759,3.58,1.59,95.6,2318,6.4,54.14,148,1.02,0.75,-0.75
94.2,3.35,6.19,1.31,1.05,0.77,1.89,-9.564568889,-136.8137313,-7.805358155,18.459388437899992,26.310781141357168,-17.50759099,3.37,1.53,94.3,1920,6.1,54.36,143,1.51,1.31,-1.31
80,2.73,6.66,0.51,1,-0.22,3.73,-7.423326329,-116.3724441,-1.637531988,5.982128510950983,21.64101073049573,-22.95388575,3.48,1.59,79.6,1384,6,54.45,146,2.56,0.51,-0.51
88,3.03,6.33,-0.18,0.3,-1.07,1.74,-9.53372092,-127.8715412,-5.694216522,-0.254083171,22.737419810048127,-27.91377414,3.37,1.53,88.1,2093,6.1,54.37,176,2.61,-0.18,0.18
86.2,3.55,6.22,-0.13,0.37,0.05,2.27,-8.007652296,-125.4044979,-3.934118513,0.074064324,23.316174473567663,-27.70580251,3.37,1.53,86.1,1937,6,54.45,125,2.68,-0.13,0.13
93.1,3.01,6.36,0.67,1.21,-0.42,2.35,-10.18840464,-135.1425577,-7.198088375,10.158314729295936,25.23068956704789,-15.96191356,3.36,1.54,93.1,2127,6.1,54.42,147,1.4,0.67,-0.67
96.2,3.25,6.18,1.34,0.89,1.16,2.33,-8.528575133,-139.8279685,-6.656217182,19.491453939309647,28.19494810647548,-19.2133712,3.47,1.59,96.2,2280,6.1,54.39,138,1.56,1.34,-1.34
94.4,2.88,6.31,0.64,0.97,0.02,3.26,-8.849370371,-137.3323899,-4.429998861,9.849586646,26.92999327104101,-19.07632904,3.47,1.59,94.6,2237,6.2,54.35,145,1.57,0.64,-0.64
93.5,3.35,6.06,1.42,0.88,0.71,1.8,-9.892004093,-135.7125549,-7.188222713,19.661083462272774,26.95803399096097,-19.90911024,3.47,1.59,93.5,1973,6.2,54.27,137,1.72,1.42,-1.42
80.2,2.75,6.52,0.79,1.12,0.39,4.02,-6.674095069,-116.7732938,-1.035379587,8.369023844885374,18.93372379057141,-21.7944837,3.42,1.58,80.3,1451,6,54.45,139,2.38,0.79,-0.79
94.1,3.07,6.19,1.01,1.25,-1.02,1.21,-12.75229098,-136.3441538,-10.01383747,15.028176916408524,24.729638357340185,-14.53718008,3.34,1.55,94.2,2269,6.2,54.3,137,1.31,1.01,-1.01
81,2.65,6.46,0.69,0.72,0.05,1.71,-7.101572057,-117.9008804,-5.456111597,7.612609157538609,18.42967809246784,-24.61820566,3.27,1.48,81.5,1440,6.2,54.28,140,2.7,0.69,-0.69
80.9,2.71,6.55,0.57,0.92,0.44,2.49,-6.122299673,-117.7520545,-4.245578343,6.322148767,19.09185422946453,-23.03401165,3.49,1.6,81.1,1582,6.1,54.4,140,2.52,0.57,-0.57
82.1,2.52,6.47,0.4,0.85,-0.77,1.62,-8.197919694,-119.3598657,-6.127893757,5.233892756544954,20.040415328653413,-23.11465108,3.54,1.69,82.4,1484,6.2,54.26,142,2.51,0.4,-0.4
94.3,2.88,6.41,0.59,1.34,-0.9,2.38,-11.0281154,-136.7911691,-7.690667682,9.787242219,29.133415892318084,-13.73805901,3.54,1.69,93.7,2209,6.1,54.45,147,1.23,0.59,-0.59
94.4,3.34,6.14,1.18,0.82,1.82,3.39,-6.564712634,-137.4483797,-3.355152018,16.422714318381257,26.44365269892299,-21.23218331,3.47,1.52,94.5,2079,6,54.49,138,1.71,1.18,-1.18
94.9,3.17,6.22,0.78,1.33,0.58,3.44,-8.486251945,-138.0516117,-4.624843136,11.774142932966528,27.103998225133445,-14.27295403,3.47,1.59,95,2303,6.1,54.41,142,1.18,0.78,-0.78
94.7,2.96,6.37,0.8,1.27,0.16,2.28,-9.054310754,-137.5828082,-7.879588778,12.017044930623712,25.35807594889743,-14.4588039,3.47,1.59,95,2264,6.2,54.35,147,1.24,0.8,-0.8
88.9,3.53,6.03,-0.01,0.63,-0.78,0.98,-10.48885994,-129.1399734,-7.780420623,1.4027843356578065,19.27599356419306,-23.8360973,3.47,1.59,89.6,2158,6.2,54.31,135,2.2,-0.01,0.01
86.7,3.52,6.13,-0.27,0.41,0.47,2.28,-6.698301647,-126.2351796,-3.955625094,-1.886873251,20.008469668534197,-27.24624599,3.47,1.59,87,2122,6,54.52,151,2.57,-0.27,0.27
93,3.06,6.28,0.64,1.17,-0.2,2.6,-9.709609009,-135.1633782,-6.259889326,9.775892259903468,25.500343586022872,-16.61581904,3.26,1.48,93.1,2274,6.1,54.39,143,1.44,0.64,-0.64
93,3.28,6.19,0.64,1.35,0.58,2.35,-8.268976738,-135.2250159,-7.088308025,9.472033615988815,25.453113151822198,-14.16482294,3.26,1.48,93.1,2232,6.1,54.41,138,1.26,0.64,-0.64
81,2.94,6.51,0.27,0.82,-0.07,2.63,-7.226081512,-117.9088443,-3.714652574,3.718507622206212,18.64188383295696,-23.983072,3.41,1.56,81.4,1301,6.2,54.35,140,2.6,0.27,-0.27
91.7,3.27,6.28,1.21,0.66,0.31,1.84,-9.99384984,-133.3028536,-6.85568137,16.35289272336557,22.797552289233927,-23.14676589,3.41,1.56,91.8,2030,6,54.54,136,2.02,1.21,-1.21
94.9,3.28,6.27,0.7,1.39,-0.43,1.73,-11.20317222,-137.4760988,-9.201975822,11.521062841795631,32.79449923187431,-12.5688728,3.41,1.56,94,2239,6.2,54.3,145,1.18,0.7,-0.7
72.7,2.96,6.51,-0.95,-1.09,-1.08,1.43,-6.438330583,-105.6512616,-0.747410651,-5.736551475,21.38968695025505,-40.35374643,3.31,1.53,71.9,2200,6.2,54.33,335,5.48,-0.95,0.95
80.1,2.65,6.79,0.64,1.49,0.96,2.63,-4.911358436,-116.3902151,-5.216571838,6.764472815442221,23.240203868670367,-17.83884907,3.37,1.53,79.6,1387,6.2,54.35,147,2.09,0.64,-0.64
82.7,2.65,6.74,0.17,1.05,0.06,2.8,-6.191953409,-120.3745254,-4.608186664,2.689399247322068,19.70051566880897,-21.23496309,3.76,1.75,82.9,1363,6.1,54.45,143,2.24,0.17,-0.17
81.9,2.81,6.65,0.46,1.23,0.86,1.04,-5.266471893,-118.9339325,-8.49392186,5.312330481,21.18358953584842,-19.05931213,4.01,1.83,82,1369,6.3,54.18,141,2.16,0.46,-0.46
85.1,3.55,6.31,-0.22,0.2,0.55,3.42,-6.572824144,-123.8866453,-0.961385469,-1.121218,22.05895535,-30.10974023,3.99,1.81,85.3,2094,6.1,54.35,177,2.92,-0.22,0.22
87.7,3.31,6.3,-0.26,0.57,0.39,2.77,-6.488389927,-127.5591578,-3.583523652,-1.602812646,25.131847582963207,-25.42309989,3.66,1.68,87.6,2221,6.2,54.33,156,2.39,-0.26,0.26
94.6,3.39,6.37,0.58,1.35,0.25,2.55,-9.42423616,-137.2701805,-7.200329216,9.518689267236288,33.51523035,-13.59793582,3.66,1.68,93.7,2357,6.2,54.34,142,1.23,0.58,-0.58
94.3,3.31,6.38,0.48,1.4,-0.75,1.62,-11.52858098,-136.4469911,-9.593414356,8.819120622183323,33.30725783477582,-12.52551373,3.85,1.75,93,2268,6.1,54.41,146,1.21,0.48,-0.48
93.1,3.24,6.4,0.61,1.3,0.1,3.09,-9.341235895,-135.2100989,-5.531234573,9.579565138187778,30.24476919273165,-15.11717052,3.66,1.68,92.4,2264,6.1,54.44,144,1.34,0.61,-0.61
73.9,3.05,6.56,-0.87,-1.27,0.29,1.6,-4.088736464,-107.5692477,-0.603613034,-6.025609808,19.455472561474757,-42.08218891,3.55,1.63,73.8,2303,6.3,54.24,336,5.45,-0.87,0.87
96.3,3.17,6.48,0.58,1.2,0.62,2.91,-8.044810234,-139.9313115,-6.603395712,9.396288707958997,30.224720754808832,-15.05240943,3.55,1.63,96,2487,6.1,54.41,147,1.25,0.58,-0.58
85,3.36,6.34,-0.19,0.53,-1.03,1.73,-9.858429141,-123.4297088,-5.590579135,-0.184592817,22.51053957927836,-25.78358211,3.55,1.63,85.1,1959,6.3,54.21,161,2.61,-0.19,0.19
93.9,3.17,6.56,0.55,1.41,0.46,4,-8.176316004,-136.4279157,-3.997336197,8.698514736043528,31.031408633928727,-13.82670869,3.41,1.63,93.1,2213,6,54.51,149,1.19,0.55,-0.55
93.3,3.43,6.34,1,0.99,-0.31,2.94,-11.76206247,-135.4329454,-5.147863177,14.749640819247492,27.960452444484275,-18.95040772,3.55,1.64,93.1,2118,6.2,54.34,145,1.63,1,-1
85.7,3.17,6.32,-0.27,0.37,-0.68,1.49,-8.51574145,-124.4896321,-5.913502305,-1.265861087,23.123370027055252,-27.33783995,3.41,1.56,85.7,1996,6.2,54.26,153,2.72,-0.27,-0.27
70.9,3.09,6.68,-0.7,-0.87,1.07,3.9,-2.757824314,-103.2497292,3.521563235438911,-4.607271745,15.951603591537536,-39.19751772,3.28,1.52,70.9,2100,6,54.45,326,5.37,-0.7,-0.7
85.2,3.35,6.39,-0.3,0.47,-0.17,1.91,-7.652644874,-123.9439942,-5.230328937,-1.843909719,21.31710508857149,-26.55586148,3.3,1.48,85.6,2084,6.2,54.27,162,2.64,-0.3,-0.3
94.4,3.4,6.3,1.13,0.97,-0.19,1.58,-11.79068838,-136.7435699,-8.724016745,16.70651614518322,28.91824515444163,-18.15340828,3.42,1.56,94.1,2216,6.3,54.25,143,1.6,1.13,-1.13
87.7,3.12,6.35,-0.25,0.67,-1.24,0.91,-9.990801938,-127.2848184,-8.456876945,-0.8815982,23.60021004320983,-23.31817796,3.48,1.56,87.9,2104,6.3,54.18,163,2.28,-0.25,0.25
84.9,2.86,6.56,0.85,1.07,1.47,1.86,-4.930182085,-123.4709213,-6.843289578,9.691507789867984,22.867039253741986,-20.0334377,3.51,1.62,84.9,1569,6.1,54.36,145,2.07,0.85,-0.85
94.7,3.13,6.48,0.39,1.19,-0.34,3.05,-9.866793614,-137.5067579,-5.919804191,7.021053805787398,28.31337989,-15.87011569,3.41,1.61,94.5,2156,6.1,54.35,151,1.35,0.39,-0.39
93.2,3.33,6.45,0.57,1.29,-0.09,1.71,-9.979791873,-135.0832863,-9.159864361,9.171406877352627,29.47204356765258,-14.52118738,3.49,1.58,92.7,2290,6.2,54.3,147,1.36,0.57,-0.57
95.5,2.94,6.47,0.84,1.58,0.76,3.3,-7.579843957,-138.5960029,-6.149213221,12.643068726236324,35.590825504262924,-10.68968802,3.37,1.53,94.5,2432,6.2,54.3,147,0.97,0.84,-0.84
71.8,2.99,6.49,-1.01,-1.24,-0.15,2.13,-4.483354124,-104.3149517,1.1196913829037487,-6.396544587,20.92334570826097,-41.59211851,3.37,1.53,71.2,2163,6.3,54.15,331,5.75,-1.01,1.01
92.4,3.33,6.25,1.5,1.3,0.09,2.37,-11.41164995,-133.7243325,-6.680835385,20.622299491470155,34.39896053580038,-15.25107591,3.34,1.59,90.9,2132,6.1,54.38,139,1.44,1.5,-1.5
93.7,3.3,6.39,0.6,1.45,0.35,4.28,-8.905461165,-136.1782365,-2.855848888,9.523143488727932,31.718574985980904,-13.78247949,3.28,1.53,93.1,2307,6.1,54.35,141,1.17,0.6,-0.6
95,3.41,6.35,1.11,1.46,1.14,3.94,-8.356743036,-137.910636,-3.827898646,16.07104778670089,34.67576255178839,-12.95071041,3.27,1.62,93.8,2307,6,54.49,149,1.1,1.11,-1.11
94.8,3.27,6.44,1.35,1.26,1.02,2.72,-8.844335595,-137.5890247,-6.782095118,19.173289667000244,33.35804086550672,-14.7446219,3.4,1.56,93.9,2215,6.1,54.36,148,1.3,1.35,-1.35
94.9,2.87,6.51,0.73,1.47,-0.73,4.48,-10.98761476,-137.5803298,-2.814550499,11.942851060470268,35.03453816444269,-13.13861482,3.46,1.6,93.8,2393,6.2,54.29,155,1.11,0.73,-0.73
92.7,3.07,6.4,0.8,1.49,-0.05,3.22,-9.699920257,-134.6247299,-5.58408546,11.872037443854357,28.90155009073218,-12.97895181,3.47,1.59,92.5,2158,6.2,54.26,145,1.17,0.8,-0.8
94.9,3.39,6.35,1.15,1.27,0.52,2.64,-10.03347416,-137.7674075,-6.801777354,16.891830250509866,31.337118874288716,-14.64021548,3.41,1.56,94.2,2186,6.1,54.43,149,1.28,1.15,-1.15
94.9,3.42,6.36,1.41,1.25,0.64,2.71,-10.36353968,-137.7171072,-6.630154701,20.304713891251176,31.03110843988299,-14.89718876,3.41,1.56,94.3,2207,6.1,54.39,145,1.3,1.41,-1.41
73.8,2.95,6.56,-0.67,-1.09,-0.82,0.13,-6.477254112,-107.1285826,-3.693237495,-3.709714286,22.69214877771421,-39.88844722,3.34,1.59,72.9,2493,6.3,54.2,335,5.37,-0.67,0.67
86,3.18,6.36,-0.06,0.55,-0.78,2.25,-9.255207195,-124.9810869,-4.590161727,1.1397777683088404,24.534816360343857,-25.68049605,3.41,1.56,86,2039,6.3,54.23,173,2.54,-0.06,0.06
94.9,3.13,6.4,1.39,1.2,-0.36,3.21,-12.13316051,-137.5991188,-5.26906558,20.432048934994715,31.72574890795425,-15.91094826,3.41,1.56,94.1,2145,6.1,54.4,142,1.36,1.39,-1.39
84.7,2.77,6.52,0.5,1.46,0.65,1.05,-5.964184827,-122.921838,-9.280848975,6.3383896407508855,25.547740041004364,-15.69765803,3.39,1.56,84.5,1442,6.4,54.1,149,1.75,0.5,-0.5
93.9,3.16,6.44,0.97,1.71,0.56,1.8,-8.804867666,-136.0875419,-9.931483833,14.044481373116907,32.35372839582499,-8.878037258,3.52,1.54,93,2323,6.1,54.35,150,0.92,0.97,-0.97
92.5,3.14,6.5,0.59,1.65,-0.1,3.33,-9.467352688,-134.177418,-5.729930296,9.315597695179028,32.283310779745875,-11.25033832,3.41,1.56,91.5,2177,6.1,54.4,151,1.06,0.59,-0.59
80.2,2.78,6.72,0.57,1.17,1.49,3.32,-3.922062394,-116.7732815,-2.993791469,5.933191742,22.921425142331632,-21.17546794,3.41,1.62,80,1352,6.2,54.29,152,2.39,0.57,-0.57
87.6,3.34,6.35,-0.08,0.67,0.67,3.03,-6.26089429,-127.4612632,-3.238555305,0.4337167687167771,27.23458122533838,-24.37837165,3.37,1.53,87.2,2082,6.2,54.34,191,2.31,-0.08,0.08
84.1,3.47,6.39,0.16,0.67,-0.06,2.11,-8.465564458,-122.1405238,-4.807960037,3.311922790457393,25.104101127688025,-24.66640071,3.37,1.53,83.6,2086,6.2,54.34,174,2.57,0.16,-0.16
93.2,3.37,6.42,0.73,1.37,0.9,3.26,-7.903734345,-135.2727513,-5.215505313,10.88776501,35.18691988203912,-14.40001783,3.59,1.58,91.9,1904,6.1,54.42,146,1.31,0.73,-0.73
91.1,3.06,6.51,0.74,1.27,-0.51,2.32,-10.46353247,-132.0852718,-7.218048621,10.995681446124818,30.801083997977084,-15.84103746,3.68,1.59,90,2057,6.1,54.45,146,1.52,0.74,-0.74
87.4,3.06,6.41,-0.16,0.31,-1.26,1.35,-10.06243392,-126.8063171,-6.670360228,0.1557616561695139,24.222160645733656,-27.68387359,3.76,1.75,87.5,2142,6.4,54.12,167,2.68,-0.16,0.16
94,3.35,6.39,1.16,0.95,-0.2,2.04,-11.70246948,-136.336977,-7.629066784,16.984893079051975,27.72415824049206,-18.78853735,3.96,1.79,93.8,2081,6.2,54.29,146,1.63,1.16,-1.16
71.5,2.88,6.73,-0.97,-1.27,0.65,2.88,-2.748305289,-104.0091789,2.086063951320403,-6.51701109,18.59237679806931,-41.94259408,3.92,1.77,70.8,2313,5.9,54.57,335,5.75,-0.97,0.97
75.8,2.77,6.57,-0.86,-0.97,-1.09,0.04,-6.509432094,-110.1877893,-4.735736441,-5.653167137,21.644145029432867,-39.27037737,3.66,1.68,75.3,2246,6.2,54.27,345,4.98,-0.86,0.86
93.7,3.21,6.52,0.39,1.43,-0.33,3.77,-9.948176791,-136.0818795,-4.509070277,7.057605576058211,30.020696202415383,-13.56238316,3.66,1.68,93.1,2210,6.1,54.43,147,1.18,0.39,-0.39
80.6,2.63,6.74,0.72,0.88,-0.01,3.42,-7.210506881,-117.1766654,-2.375147572,7.990883315661946,22.28303089108364,-23.78055344,3.66,1.68,80.3,1245,6.2,54.32,149,2.63,0.72,-0.72
73,3.14,6.61,-0.73,-0.75,0.39,2.72,-4.270553347,-106.2160552,0.8449013267607075,-4.731035867,18.69292348558677,-38.22709121,3.55,1.63,72.7,2137,6.1,54.37,329,5.04,-0.73,0.73
92.7,3.09,6.5,0.35,1.32,-0.23,2.96,-9.20268837,-134.6003355,-6.072475466,6.330863367191927,29.81931265432458,-15.01029652,3.55,1.69,92.2,2121,6.2,54.33,146,1.35,0.35,-0.35
95.6,2.79,6.6,0.7,1.7,-0.07,3.61,-9.05346775,-138.8702177,-6.055892861,11.074842121872884,31.223355268611623,-8.907135955,3.41,1.56,95.1,2460,6.1,54.4,156,0.8,0.7,0.7
94.9,2.97,6.37,1.31,1.27,0.85,1.97,-8.44569899,-137.6458986,-8.615283686,18.52229146752665,32.24417297186548,-14.18883484,3.22,1.57,94.3,2253,6.3,54.24,153,1.29,1.31,1.31
92.8,3.52,6.22,1.5,0.93,0.78,2.55,-10.2501953,-134.627854,-5.551829782,20.550039216585446,31.101109915143667,-19.80786751,3.41,1.56,92.1,2202,6.2,54.31,142,1.75,1.5,1.5
85.1,3.38,6.2,-0.23,0.31,-1.01,1.13,-9.793066352,-123.511873,-6.175772819,-0.448443272,24.50313348229885,-27.95012403,3.34,1.58,84.8,2131,6.2,54.25,184,2.86,-0.23,-0.23
86.3,3.23,6.27,-0.39,0.31,-0.25,3.01,-7.477118617,-125.5545358,-2.146338536,-2.554193498,25.693103886051272,-28.65399334,3.41,1.61,86.1,2034,6.2,54.29,187,2.75,-0.39,0.39
85,2.64,6.6,0.93,1.17,0.41,0.8,-7.074468547,-123.2654465,-9.588346643,10.870163863469395,24.619663718708523,-18.43304342,3.37,1.53,84.8,1599,6.4,54.13,140,2,0.93,-0.93
81.7,2.48,6.61,0.89,1.22,-0.52,1.69,-8.459559983,-118.5546128,-6.840595299,10.056624073417634,22.738198997862032,-19.46601576,3.37,1.53,81.6,1680,6.4,54.15,143,2.21,0.89,-0.89
81.4,2.67,6.6,0.37,1.26,0.04,2.73,-6.595320671,-118.3309605,-4.466060684,4.749722543686771,23.27001471251109,-19.64018263,3.31,1.55,81,1392,6.2,54.33,146,2.19,0.37,-0.37
95.2,2.93,6.41,0.65,1.35,-0.59,3.07,-10.63589241,-138.1351515,-6.114846024,10.677468591172056,31.13827501386264,-13.65933206,3.47,1.59,94.7,2384,6.2,54.32,146,1.18,0.65,-0.65
84,2.78,6.61,-0.28,1.31,-0.91,1.58,-7.946829488,-121.933423,-7.805829452,-1.285732465,23.39032229821229,-17.74270768,3.47,1.59,83.7,1426,6.2,54.35,151,1.93,-0.28,0.28
93.1,3.32,6.28,1.11,0.86,0.56,2.76,-9.469966397,-135.2723141,-5.169117143,15.554595264753472,26.002604748594308,-20.65494686,3.47,1.59,93.1,1956,6.1,54.37,136,1.75,1.11,-1.11
94.7,3.07,6.36,0.69,1.2,-1.29,1.74,-12.86202361,-137.0845926,-9.029864101,11.444397092618996,28.13611021981633,-15.10874867,3.25,1.52,94.5,2142,6.3,54.22,141,1.35,0.69,-0.69
83.6,2.52,6.67,0.66,1.21,0.99,1.79,-4.803528764,-121.5556375,-7.180101424,7.463584074507849,23.68085273806975,-18.92588753,3.23,1.5,83.3,1323,6.1,54.38,141,2.05,0.66,-0.66
81.5,2.58,6.6,0.82,1.21,-0.55,2.35,-8.594797433,-118.3385824,-5.254312087,9.380142915,22.81898917189469,-19.92057111,3.47,1.59,81.2,1287,6.2,54.26,141,2.23,0.82,-0.82
92.3,2.86,6.61,0.78,1.35,-0.75,3.1,-10.82356589,-134.004233,-6.022140615,11.726076877234435,27.67823266706717,-14.77157927,3.31,1.55,92,2138,6.1,54.36,154,1.33,0.78,-0.78
93.8,3.42,6.41,0.83,1.14,0.95,3.57,-8.150544068,-136.4149214,-4.139442844,12.145766710665798,29.085868717925543,-17.15451326,3.41,1.59,93.3,2061,6,54.52,147,1.44,0.83,-0.83
94.2,3.27,6.35,0.69,1.16,0.65,2.4,-8.292839766,-136.7779227,-7.113705194,10.414617204180836,29.70569921587353,-16.15027451,3.41,1.56,93.8,2042,6.2,54.33,144,1.41,0.69,-0.69
93.8,3.25,6.51,0.66,1.2,1.2,3.95,-6.72897462,-136.4640777,-3.523740512,9.730650317,30.04729157759388,-16.62549834,3.41,1.52,93.3,2108,6,54.47,149,1.39,0.66,-0.66
92.3,3.35,6.43,1.33,1.02,1.24,3.02,-8.216830832,-134.1679629,-5.097124852,17.809888952062433,26.29217555291179,-18.94725512,3.41,1.59,92.1,1948,6,54.49,145,1.64,1.33,-1.33
92,3.55,6.37,0.87,1.31,1.38,2.79,-7.349231398,-133.8166324,-6.101121018,12.003018135840613,25.55056901432712,-15.25569113,3.34,1.56,92,2079,6,54.46,140,1.36,0.87,-0.87
85.1,3.31,6.5,-0.01,0.58,-0.61,3.22,-9.124989828,-123.7319595,-2.603306712,1.481636133858035,21.38399917532387,-25.91766404,3.36,1.58,85.1,1918,6,54.49,165,2.54,-0.01,0.01
89.3,3.45,6.17,-0.24,0.47,-0.18,1.42,-8.428880136,-129.8789554,-6.78080319,-1.288239446,22.453962626999807,-25.70887991,3.37,1.53,89.9,2392,6.3,54.19,171,2.35,-0.24,0.24
95.9,3.31,6.29,0.64,1.34,-0.15,2.36,-10.56848729,-139.1874292,-7.828317015,10.615443488070005,29.790653147354927,-13.06095341,3.37,1.53,96,2409,6.4,54.11,143,1.14,0.64,-0.64
96.2,3.48,6.32,0.95,1.38,-0.02,4.01,-11.35771042,-139.6869355,-3.633958946,15.00321741331199,31.606366601987727,-13.41141169,3.67,1.65,95.7,2483,6.1,54.36,139,1.09,0.95,-0.95
94.3,3.07,6.55,0.7,1.64,0.84,4.12,-7.316524135,-137.0872246,-4.155060982,10.597164290608749,33.911428768751506,-10.87415745,3.59,1.66,93.2,2517,5.9,54.55,150,0.95,0.7,-0.7
83.3,2.88,6.58,0.29,1.09,0.54,2.07,-5.937403422,-121.0914584,-6.058237558,4.024433626044189,22.70751439922269,-20.47063845,3.37,1.53,83.2,1365,6.2,54.3,138,2.19,0.29,-0.29
86.4,3.29,6.32,-0.2,0.53,-0.25,2.38,-7.996903641,-125.5646109,-4.244605604,-0.535215367,24.567532579026345,-25.91561008,3.33,1.53,86.3,2238,6.2,54.27,167,2.52,-0.2,0.2
94.6,3.25,6.33,0.8,1.51,-0.79,2.84,-12.24070212,-137.0891494,-6.693053148,12.859244720671205,31.759268422273287,-11.77452725,3.76,1.75,93.9,2406,6.2,54.31,148,1.07,0.8,-0.8
95,3.4,6.3,1.28,1.26,-0.08,2.91,-11.9105876,-137.723952,-5.966902618,18.936341629063143,30.98431814152449,-14.95991485,3.76,1.75,94.4,2221,6.2,54.34,143,1.29,1.28,-1.28
95.8,3.42,6.29,1.11,1.44,1.24,2.55,-8.219634581,-139.071506,-7.458601727,16.312882743615397,31.89079235845412,-11.96284395,3.95,1.84,95.4,2354,6.2,54.25,142,1.06,1.11,-1.11
94.6,3.15,6.46,0.94,1.45,0.32,2.68,-9.417717746,-137.3097193,-7.315212717,14.046609229142264,31.15929590360154,-12.38699348,3.97,1.82,94,2393,6.1,54.39,147,1.12,0.94,-0.94
75,2.9,6.45,-0.55,-1.16,-1.86,-0.99,-8.855636404,-108.822826,-6.089088497,-2.683066108,20.20192717035569,-40.38308385,3.91,1.74,74.5,2261,6.2,54.26,339,5.25,-0.55,0.55
95.6,3.2,6.36,0.6,1.48,-0.75,3.56,-11.69208521,-138.7281903,-5.021932353,10.41522843533058,32.37972747309138,-12.09315079,3.72,1.81,95,2343,6.2,54.34,146,1.04,0.6,-0.6
95.7,3.47,6.21,1.44,0.97,1.33,2.49,-8.837036554,-138.9421948,-6.325786374,20.598134937010844,31.758417778971182,-18.3025563,3.66,1.68,95.2,2169,6.2,54.32,143,1.53,1.44,-1.44
94,3.37,6.29,1.21,0.88,0.38,2.72,-10.36959129,-136.4619482,-5.45254228,17.39178584649129,29.35524448835972,-20.0888243,3.66,1.68,93.5,2128,6.1,54.41,142,1.7,1.21,-1.21
82.8,2.76,6.57,0.76,1.02,0.96,3.89,-5.56781531,-120.4102361,-1.574076187,8.480430249844432,24.00550764917228,-22.18834698,3.74,1.67,82.4,1680,6.1,54.39,134,2.32,0.76,-0.76
88.2,3.56,6.29,-0.24,0.42,0.23,3.82,-7.525351549,-128.3635992,-0.855134926,-1.331728644,23.78284599569519,-27.47572748,3.68,1.72,88.1,2157,6,54.5,160,2.48,-0.24,0.24
